보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
계림동271,1,,광주광역시 동구 계림동 539-29,35.15890092,126.9159198,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동272,1,,광주광역시 동구 계림동 539-28,35.15895805,126.9159851,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동273,1,,광주광역시 동구 계림동 587-21,35.15877914,126.9161224,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동274,1,,광주광역시 동구 계림동 540-8,35.15894318,126.9162216,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동275,1,,광주광역시 동구 계림동 540-1,35.15916061,126.9164346,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동276,1,,광주광역시 동구 계림동 540-4,35.15894699,126.9165083,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동277,1,,광주광역시 동구 계림동 586-16,35.15876007,126.9166336,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동278,1,,광주광역시 동구 계림동 586-13,35.15852737,126.9169235,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동279,1,,광주광역시 동구 계림동 586-9,35.15837176,126.9172363,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동280,1,,광주광역시 동구 계림동 489-1,35.15821457,126.9174411,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동281,1,,광주광역시 동구 계림동 487-30,35.15837097,126.9175034,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동282,1,,광주광역시 동구 계림동 489-19,35.15800476,126.9174805,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동283,1,,광주광역시 동구 계림동 488-6,35.15784836,126.9178255,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동284,1,,광주광역시 동구 계림동 485-47,35.15766144,126.9181057,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동285,1,,광주광역시 동구 계림동 487-2,35.15795899,126.9181824,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동286,1,,광주광역시 동구 계림동 485-49,35.15757751,126.9179001,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동287,1,,광주광역시 동구 계림동 485-57,35.15741996,126.9181137,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동288,1,,광주광역시 동구 계림동 485-46,35.15767526,126.9182978,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동289,1,,광주광역시 동구 계림동 485-10,35.15719604,126.9183411,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동290,1,,광주광역시 동구 계림동 486-6,35.15709305,126.9183731,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동291,1,,광주광역시 동구 계림동 486-9,35.15677345,126.918037,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동292,1,,광주광역시 동구 계림동 484-13,35.15697954,126.9177585,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동293,1,,광주광역시 동구 계림동 485-32,35.15714645,126.9179001,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동294,1,,광주광역시 동구 계림동 486-12,35.15717697,126.9180145,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동295,1,,광주광역시 동구 계림동 484-23,35.15723408,126.9175645,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동296,1,,광주광역시 동구 계림동 484-26,35.15746689,126.917511,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동297,1,,광주광역시 동구 계림동 489-14,35.15755463,126.9172514,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동298,1,,광주광역시 동구 계림동 489-23,35.15764236,126.9172974,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동299,1,,광주광역시 동구 계림동 489-25,35.15780258,126.9169813,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동300,1,,광주광역시 동구 계림동 587-13,35.15815093,126.9168829,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동301,1,,광주광역시 동구 계림동 587-14,35.15822638,126.9167631,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
